DXCode,Description,"2020 CMS-HCC
Model
Category
(V24) ",V24 HCC Description,V28ID,V28HCCDescription,"2020 CMS-HCC Model
Category
(V24) for 2024
Payment Year","2024 Proposed CMS-HCC Model
Category
(V28) for 2024
Payment Year",Same HCC Description  
F16220,"Hallucinogen dependence with intoxication, uncomplicated",55,"Substance Use Disorder, Moderate/Severe, or Substance Use with Complications",137,"Drug Use Disorder, Moderate/Severe, or Drug Use with Non-PsychoticComplications",Yes,Yes,NO
F16221,Hallucinogen dependence with intoxication with delirium,55,"Substance Use Disorder, Moderate/Severe, or Substance Use with Complications",137,"Drug Use Disorder, Moderate/Severe, or Drug Use with Non-PsychoticComplications",Yes,Yes,NO
F16229,"Hallucinogen dependence with intoxication, unspecified",55,"Substance Use Disorder, Moderate/Severe, or Substance Use with Complications",137,"Drug Use Disorder, Moderate/Severe, or Drug Use with Non-PsychoticComplications",Yes,Yes,NO
F1624,Hallucinogen dependence with hallucinogen-induced mood disorder,55,"Substance Use Disorder, Moderate/Severe, or Substance Use with Complications",137,"Drug Use Disorder, Moderate/Severe, or Drug Use with Non-PsychoticComplications",Yes,Yes,NO
F16250,Hallucinogen dependence with hallucinogen-induced psychotic disorder with delusions,54,Substance Use with Psychotic Complications,135,Drug Use with Psychotic Complications,Yes,Yes,NO
F16251,Hallucinogen dependence with hallucinogen-induced psychotic disorder with hallucinations,54,Substance Use with Psychotic Complications,135,Drug Use with Psychotic Complications,Yes,Yes,NO
F16259,"Hallucinogen dependence with hallucinogen-induced psychotic disorder, unspecified",54,Substance Use with Psychotic Complications,135,Drug Use with Psychotic Complications,Yes,Yes,NO
F16280,Hallucinogen dependence with hallucinogen-induced anxiety disorder,55,"Substance Use Disorder, Moderate/Severe, or Substance Use with Complications",137,"Drug Use Disorder, Moderate/Severe, or Drug Use with Non-PsychoticComplications",Yes,Yes,NO
F16283,Hallucinogen dependence with hallucinogen persisting perception disorder (flashbacks),55,"Substance Use Disorder, Moderate/Severe, or Substance Use with Complications",137,"Drug Use Disorder, Moderate/Severe, or Drug Use with Non-PsychoticComplications",Yes,Yes,NO
F16288,Hallucinogen dependence with other hallucinogen-induced disorder,55,"Substance Use Disorder, Moderate/Severe, or Substance Use with Complications",137,"Drug Use Disorder, Moderate/Severe, or Drug Use with Non-PsychoticComplications",Yes,Yes,NO
F1629,Hallucinogen dependence with unspecified hallucinogen-induced disorder,55,"Substance Use Disorder, Moderate/Severe, or Substance Use with Complications",137,"Drug Use Disorder, Moderate/Severe, or Drug Use with Non-PsychoticComplications",Yes,Yes,NO
F16920,"Hallucinogen use, unspecified with intoxication, uncomplicated",55,"Substance Use Disorder, Moderate/Severe, or Substance Use with Complications",137,"Drug Use Disorder, Moderate/Severe, or Drug Use with Non-PsychoticComplications",Yes,Yes,NO
F16921,"Hallucinogen use, unspecified with intoxication with delirium",55,"Substance Use Disorder, Moderate/Severe, or Substance Use with Complications",137,"Drug Use Disorder, Moderate/Severe, or Drug Use with Non-PsychoticComplications",Yes,Yes,NO
F16929,"Hallucinogen use, unspecified with intoxication, unspecified",55,"Substance Use Disorder, Moderate/Severe, or Substance Use with Complications",137,"Drug Use Disorder, Moderate/Severe, or Drug Use with Non-PsychoticComplications",Yes,Yes,NO
F1694,"Hallucinogen use, unspecified with hallucinogen-induced mood disorder",55,"Substance Use Disorder, Moderate/Severe, or Substance Use with Complications",137,"Drug Use Disorder, Moderate/Severe, or Drug Use with Non-PsychoticComplications",Yes,Yes,NO
F16950,"Hallucinogen use, unspecified with hallucinogen-induced psychotic disorder with delusions",54,Substance Use with Psychotic Complications,135,Drug Use with Psychotic Complications,Yes,Yes,NO
F16951,"Hallucinogen use, unspecified with hallucinogen-induced psychotic disorder with hallucinations",54,Substance Use with Psychotic Complications,135,Drug Use with Psychotic Complications,Yes,Yes,NO
F16959,"Hallucinogen use, unspecified with hallucinogen-induced psychotic disorder, unspecified",54,Substance Use with Psychotic Complications,135,Drug Use with Psychotic Complications,Yes,Yes,NO
F16980,"Hallucinogen use, unspecified with hallucinogen-induced anxiety disorder",55,"Substance Use Disorder, Moderate/Severe, or Substance Use with Complications",137,"Drug Use Disorder, Moderate/Severe, or Drug Use with Non-PsychoticComplications",Yes,Yes,NO
F16983,"Hallucinogen use, unspecified with hallucinogen persisting perception disorder (flashbacks)",55,"Substance Use Disorder, Moderate/Severe, or Substance Use with Complications",137,"Drug Use Disorder, Moderate/Severe, or Drug Use with Non-PsychoticComplications",Yes,Yes,NO
F16988,"Hallucinogen use, unspecified with other hallucinogen-induced disorder",55,"Substance Use Disorder, Moderate/Severe, or Substance Use with Complications",137,"Drug Use Disorder, Moderate/Severe, or Drug Use with Non-PsychoticComplications",Yes,Yes,NO
F1699,"Hallucinogen use, unspecified with unspecified hallucinogen-induced disorder",55,"Substance Use Disorder, Moderate/Severe, or Substance Use with Complications",137,"Drug Use Disorder, Moderate/Severe, or Drug Use with Non-PsychoticComplications",Yes,Yes,NO
F1810,"Inhalant abuse, uncomplicated",56,"Substance Use Disorder, Mild, Except Alcohol and Cannabis",138,"Drug Use Disorder, Mild,Uncomplicated, Except Cannabis",Yes,Yes,NO
F1811,"Inhalant abuse, in remission",56,"Substance Use Disorder, Mild, Except Alcohol and Cannabis",138,"Drug Use Disorder, Mild,Uncomplicated, Except Cannabis",Yes,Yes,NO
F18120,"Inhalant abuse with intoxication, uncomplicated",55,"Substance Use Disorder, Moderate/Severe, or Substance Use with Complications",137,"Drug Use Disorder, Moderate/Severe, or Drug Use with Non-PsychoticComplications",Yes,Yes,NO
F18121,Inhalant abuse with intoxication delirium,55,"Substance Use Disorder, Moderate/Severe, or Substance Use with Complications",137,"Drug Use Disorder, Moderate/Severe, or Drug Use with Non-PsychoticComplications",Yes,Yes,NO
F18129,"Inhalant abuse with intoxication, unspecified",55,"Substance Use Disorder, Moderate/Severe, or Substance Use with Complications",137,"Drug Use Disorder, Moderate/Severe, or Drug Use with Non-PsychoticComplications",Yes,Yes,NO
F1814,Inhalant abuse with inhalant-induced mood disorder,55,"Substance Use Disorder, Moderate/Severe, or Substance Use with Complications",137,"Drug Use Disorder, Moderate/Severe, or Drug Use with Non-PsychoticComplications",Yes,Yes,NO
F18150,Inhalant abuse with inhalant-induced psychotic disorder with delusions,54,Substance Use with Psychotic Complications,135,Drug Use with Psychotic Complications,Yes,Yes,NO
F18151,Inhalant abuse with inhalant-induced psychotic disorder with hallucinations,54,Substance Use with Psychotic Complications,135,Drug Use with Psychotic Complications,Yes,Yes,NO
F18159,"Inhalant abuse with inhalant-induced psychotic disorder, unspecified",54,Substance Use with Psychotic Complications,135,Drug Use with Psychotic Complications,Yes,Yes,NO
F1817,Inhalant abuse with inhalant-induced dementia,54,Substance Use with Psychotic Complications,135,Drug Use with Psychotic Complications,Yes,Yes,NO
F18180,Inhalant abuse with inhalant-induced anxiety disorder,55,"Substance Use Disorder, Moderate/Severe, or Substance Use with Complications",137,"Drug Use Disorder, Moderate/Severe, or Drug Use with Non-PsychoticComplications",Yes,Yes,NO
F18188,Inhalant abuse with other inhalant-induced disorder,55,"Substance Use Disorder, Moderate/Severe, or Substance Use with Complications",137,"Drug Use Disorder, Moderate/Severe, or Drug Use with Non-PsychoticComplications",Yes,Yes,NO
F1819,Inhalant abuse with unspecified inhalant-induced disorder,55,"Substance Use Disorder, Moderate/Severe, or Substance Use with Complications",137,"Drug Use Disorder, Moderate/Severe, or Drug Use with Non-PsychoticComplications",Yes,Yes,NO
F1820,"Inhalant dependence, uncomplicated",55,"Substance Use Disorder, Moderate/Severe, or Substance Use with Complications",137,"Drug Use Disorder, Moderate/Severe, or Drug Use with Non-PsychoticComplications",Yes,Yes,NO
F1821,"Inhalant dependence, in remission",55,"Substance Use Disorder, Moderate/Severe, or Substance Use with Complications",137,"Drug Use Disorder, Moderate/Severe, or Drug Use with Non-PsychoticComplications",Yes,Yes,NO
F18220,"Inhalant dependence with intoxication, uncomplicated",55,"Substance Use Disorder, Moderate/Severe, or Substance Use with Complications",137,"Drug Use Disorder, Moderate/Severe, or Drug Use with Non-PsychoticComplications",Yes,Yes,NO
F18221,Inhalant dependence with intoxication delirium,55,"Substance Use Disorder, Moderate/Severe, or Substance Use with Complications",137,"Drug Use Disorder, Moderate/Severe, or Drug Use with Non-PsychoticComplications",Yes,Yes,NO
F18229,"Inhalant dependence with intoxication, unspecified",55,"Substance Use Disorder, Moderate/Severe, or Substance Use with Complications",137,"Drug Use Disorder, Moderate/Severe, or Drug Use with Non-PsychoticComplications",Yes,Yes,NO
F1824,Inhalant dependence with inhalant-induced mood disorder,55,"Substance Use Disorder, Moderate/Severe, or Substance Use with Complications",137,"Drug Use Disorder, Moderate/Severe, or Drug Use with Non-PsychoticComplications",Yes,Yes,NO
F18250,Inhalant dependence with inhalant-induced psychotic disorder with delusions,54,Substance Use with Psychotic Complications,135,Drug Use with Psychotic Complications,Yes,Yes,NO
F18251,Inhalant dependence with inhalant-induced psychotic disorder with hallucinations,54,Substance Use with Psychotic Complications,135,Drug Use with Psychotic Complications,Yes,Yes,NO
F18259,"Inhalant dependence with inhalant-induced psychotic disorder, unspecified",54,Substance Use with Psychotic Complications,135,Drug Use with Psychotic Complications,Yes,Yes,NO
F1827,Inhalant dependence with inhalant-induced dementia,54,Substance Use with Psychotic Complications,135,Drug Use with Psychotic Complications,Yes,Yes,NO
F18280,Inhalant dependence with inhalant-induced anxiety disorder,55,"Substance Use Disorder, Moderate/Severe, or Substance Use with Complications",137,"Drug Use Disorder, Moderate/Severe, or Drug Use with Non-PsychoticComplications",Yes,Yes,NO
F18288,Inhalant dependence with other inhalant-induced disorder,55,"Substance Use Disorder, Moderate/Severe, or Substance Use with Complications",137,"Drug Use Disorder, Moderate/Severe, or Drug Use with Non-PsychoticComplications",Yes,Yes,NO
F1829,Inhalant dependence with unspecified inhalant-induced disorder,55,"Substance Use Disorder, Moderate/Severe, or Substance Use with Complications",137,"Drug Use Disorder, Moderate/Severe, or Drug Use with Non-PsychoticComplications",Yes,Yes,NO
F18920,"Inhalant use, unspecified with intoxication, uncomplicated",55,"Substance Use Disorder, Moderate/Severe, or Substance Use with Complications",137,"Drug Use Disorder, Moderate/Severe, or Drug Use with Non-PsychoticComplications",Yes,Yes,NO
F18921,"Inhalant use, unspecified with intoxication with delirium",55,"Substance Use Disorder, Moderate/Severe, or Substance Use with Complications",137,"Drug Use Disorder, Moderate/Severe, or Drug Use with Non-PsychoticComplications",Yes,Yes,NO
F18929,"Inhalant use, unspecified with intoxication, unspecified",55,"Substance Use Disorder, Moderate/Severe, or Substance Use with Complications",137,"Drug Use Disorder, Moderate/Severe, or Drug Use with Non-PsychoticComplications",Yes,Yes,NO
F1894,"Inhalant use, unspecified with inhalant-induced mood disorder",55,"Substance Use Disorder, Moderate/Severe, or Substance Use with Complications",137,"Drug Use Disorder, Moderate/Severe, or Drug Use with Non-PsychoticComplications",Yes,Yes,NO
F18950,"Inhalant use, unspecified with inhalant-induced psychotic disorder with delusions",54,Substance Use with Psychotic Complications,135,Drug Use with Psychotic Complications,Yes,Yes,NO
F18951,"Inhalant use, unspecified with inhalant-induced psychotic disorder with hallucinations",54,Substance Use with Psychotic Complications,135,Drug Use with Psychotic Complications,Yes,Yes,NO
F18959,"Inhalant use, unspecified with inhalant-induced psychotic disorder, unspecified",54,Substance Use with Psychotic Complications,135,Drug Use with Psychotic Complications,Yes,Yes,NO
F1897,"Inhalant use, unspecified with inhalant-induced persisting dementia",54,Substance Use with Psychotic Complications,135,Drug Use with Psychotic Complications,Yes,Yes,NO
F18980,"Inhalant use, unspecified with inhalant-induced anxiety disorder",55,"Substance Use Disorder, Moderate/Severe, or Substance Use with Complications",137,"Drug Use Disorder, Moderate/Severe, or Drug Use with Non-PsychoticComplications",Yes,Yes,NO
F18988,"Inhalant use, unspecified with other inhalant-induced disorder",55,"Substance Use Disorder, Moderate/Severe, or Substance Use with Complications",137,"Drug Use Disorder, Moderate/Severe, or Drug Use with Non-PsychoticComplications",Yes,Yes,NO
F1899,"Inhalant use, unspecified with unspecified inhalant-induced disorder",55,"Substance Use Disorder, Moderate/Severe, or Substance Use with Complications",137,"Drug Use Disorder, Moderate/Severe, or Drug Use with Non-PsychoticComplications",Yes,Yes,NO
F1910,"Other psychoactive substance abuse, uncomplicated",56,"Substance Use Disorder, Mild, Except Alcohol and Cannabis",138,"Drug Use Disorder, Mild,Uncomplicated, Except Cannabis",Yes,Yes,NO
F1911,"Other psychoactive substance abuse, in remission",56,"Substance Use Disorder, Mild, Except Alcohol and Cannabis",138,"Drug Use Disorder, Mild,Uncomplicated, Except Cannabis",Yes,Yes,NO
F19120,"Other psychoactive substance abuse with intoxication, uncomplicated",55,"Substance Use Disorder, Moderate/Severe, or Substance Use with Complications",137,"Drug Use Disorder, Moderate/Severe, or Drug Use with Non-PsychoticComplications",Yes,Yes,NO
F19121,Other psychoactive substance abuse with intoxication delirium,55,"Substance Use Disorder, Moderate/Severe, or Substance Use with Complications",137,"Drug Use Disorder, Moderate/Severe, or Drug Use with Non-PsychoticComplications",Yes,Yes,NO
F19122,Other psychoactive substance abuse with intoxication with perceptual disturbances,55,"Substance Use Disorder, Moderate/Severe, or Substance Use with Complications",137,"Drug Use Disorder, Moderate/Severe, or Drug Use with Non-PsychoticComplications",Yes,Yes,NO
F19129,"Other psychoactive substance abuse with intoxication, unspecified",55,"Substance Use Disorder, Moderate/Severe, or Substance Use with Complications",137,"Drug Use Disorder, Moderate/Severe, or Drug Use with Non-PsychoticComplications",Yes,Yes,NO
F19130,"Other psychoactive substance abuse with withdrawal, uncomplicated",55,"Substance Use Disorder, Moderate/Severe, or Substance Use with Complications",137,"Drug Use Disorder, Moderate/Severe, or Drug Use with Non-PsychoticComplications",Yes,Yes,NO
F19131,Other psychoactive substance abuse with withdrawal delirium,54,Substance Use with Psychotic Complications,135,Drug Use with Psychotic Complications,Yes,Yes,NO
F19132,Other psychoactive substance abuse with withdrawal with perceptual disturbance,54,Substance Use with Psychotic Complications,135,Drug Use with Psychotic Complications,Yes,Yes,NO
F19139,"Other psychoactive substance abuse with withdrawal, unspecified",55,"Substance Use Disorder, Moderate/Severe, or Substance Use with Complications",137,"Drug Use Disorder, Moderate/Severe, or Drug Use with Non-PsychoticComplications",Yes,Yes,NO
F1914,Other psychoactive substance abuse with psychoactive substance-induced mood disorder,55,"Substance Use Disorder, Moderate/Severe, or Substance Use with Complications",137,"Drug Use Disorder, Moderate/Severe, or Drug Use with Non-PsychoticComplications",Yes,Yes,NO
F19150,Other psychoactive substance abuse with psychoactive substance-induced psychotic disorder with delusions,54,Substance Use with Psychotic Complications,135,Drug Use with Psychotic Complications,Yes,Yes,NO
F19151,Other psychoactive substance abuse with psychoactive substance-induced psychotic disorder with hallucinations,54,Substance Use with Psychotic Complications,135,Drug Use with Psychotic Complications,Yes,Yes,NO
F19159,"Other psychoactive substance abuse with psychoactive substance-induced psychotic disorder, unspecified",54,Substance Use with Psychotic Complications,135,Drug Use with Psychotic Complications,Yes,Yes,NO
F1916,Other psychoactive substance abuse with psychoactive substance-induced persisting amnestic disorder,54,Substance Use with Psychotic Complications,135,Drug Use with Psychotic Complications,Yes,Yes,NO
F1917,Other psychoactive substance abuse with psychoactive substance-induced persisting dementia,54,Substance Use with Psychotic Complications,135,Drug Use with Psychotic Complications,Yes,Yes,NO
F19180,Other psychoactive substance abuse with psychoactive substance-induced anxiety disorder,55,"Substance Use Disorder, Moderate/Severe, or Substance Use with Complications",137,"Drug Use Disorder, Moderate/Severe, or Drug Use with Non-PsychoticComplications",Yes,Yes,NO
F19181,Other psychoactive substance abuse with psychoactive substance-induced sexual dysfunction,55,"Substance Use Disorder, Moderate/Severe, or Substance Use with Complications",137,"Drug Use Disorder, Moderate/Severe, or Drug Use with Non-PsychoticComplications",Yes,Yes,NO
F19182,Other psychoactive substance abuse with psychoactive substance-induced sleep disorder,55,"Substance Use Disorder, Moderate/Severe, or Substance Use with Complications",137,"Drug Use Disorder, Moderate/Severe, or Drug Use with Non-PsychoticComplications",Yes,Yes,NO
F19188,Other psychoactive substance abuse with other psychoactive substance-induced disorder,55,"Substance Use Disorder, Moderate/Severe, or Substance Use with Complications",137,"Drug Use Disorder, Moderate/Severe, or Drug Use with Non-PsychoticComplications",Yes,Yes,NO
F1919,Other psychoactive substance abuse with unspecified psychoactive substance-induced disorder,55,"Substance Use Disorder, Moderate/Severe, or Substance Use with Complications",137,"Drug Use Disorder, Moderate/Severe, or Drug Use with Non-PsychoticComplications",Yes,Yes,NO
F1920,"Other psychoactive substance dependence, uncomplicated",55,"Substance Use Disorder, Moderate/Severe, or Substance Use with Complications",137,"Drug Use Disorder, Moderate/Severe, or Drug Use with Non-PsychoticComplications",Yes,Yes,NO
F1921,"Other psychoactive substance dependence, in remission",55,"Substance Use Disorder, Moderate/Severe, or Substance Use with Complications",137,"Drug Use Disorder, Moderate/Severe, or Drug Use with Non-PsychoticComplications",Yes,Yes,NO
F19220,"Other psychoactive substance dependence with intoxication, uncomplicated",55,"Substance Use Disorder, Moderate/Severe, or Substance Use with Complications",137,"Drug Use Disorder, Moderate/Severe, or Drug Use with Non-PsychoticComplications",Yes,Yes,NO
